Year,Month,Number,UTME,UTMN,House_dens,Road_Dist,Water_Dist,Dist_Farm,Dist_Forest,TE
2019,5,1022340,415757,5077901,16,0.0057648,0.028742098,0.193950175,0,13.4045
2019,6,1022353,395941,5025509,7,0.002732904,0.079710379,0.610633104,0.012568264,13.171
2019,5,1022394,529263,5033391,23,0.00013152,0.097658328,0.009689741,0.093524797,24.11780078
2019,6,1022408,436501,4967243,46,0.008225894,0.316955694,1.032965723,0.014641793,23.12519922
2019,6,1022416,395199,5026812,7,0.074965812,0.32509022,0.49474385,0,13.6707998
2019,6,1022464,701579,5188784,2,0.000619025,0.098382055,5.897303014,0.006378422,13.6442998
2019,6,1022466,530058,5043899,42,0.016443423,0.126725998,0.138872621,0.045585113,23.57980078
2019,6,1022467,531374,5044089,42,0.419160294,0.313277061,0.253218373,0,27.96869922
2018,9,1022487,462014,4945218,156,0.024207448,0.166103215,0.902016793,0.633913036,6.106649902
2018,9,1022497,455767,4946359,195,0.001746126,0.148747916,2.05430042,1.226359235,0
2019,6,1022513,448681,5077655,12,0.034004283,0.150840428,0.348517636,0.570485377,2.385699951
2019,6,1022532,448464,5078112,12,0.03605559,0.106733753,0.250772166,0.608822478,3.988229981
2019,6,1022567,523737,5044535,43,0.00510378,0.0939822,1.977886629,0.086060397,21.82919922
2019,6,1022580,460105,4973528,22,0.005356667,0.173489176,0.584299057,0.074772511,23.44409961
2019,6,1022581,462089,4950837,150,0.007025877,0.209027775,2.380582047,0.053643234,32.70930078
2019,6,1022677,353407,4982357,27,0.005285444,0.146129609,0.306174052,0.009891306,18.7355
2019,6,1022711,433899,5063868,7,0.013700247,0.086808673,0.018365061,0.048152992,21.54919922
2019,5,1022737,551535,5057379,7,0.035514669,0.079464632,0.189706055,0,27.97219922
2019,6,1022743,517693,5030215,8,0.006246263,0.253310591,0.034121998,0.009783352,16.97080078
2019,6,1022745,531564,5046066,43,0.003153193,0.098357266,0.301933529,0.012640617,24.59590039
2019,6,1022746,528628,5046044,47,0.006247658,0.175498761,0.238614184,0.110848036,23.22330078
2019,6,1022748,521551,5063686,19,0.003496161,0.402296856,0.065089133,0.05551578,23.28209961
2019,6,1022749,527158,5050152,51,0.134222937,0.327251619,0.308644494,0,13.9552002
2019,6,1022750,519202,5038228,32,0.005165289,0.126691501,0.015514479,0.052872819,22.79030078
2019,6,1022751,529190,5042740,41,0.004637114,0.035075189,0.010948077,0.173761017,18.83759961
2019,6,1022755,543368,5037771,7,6.32E-05,0.146151191,0.002485752,0.005768495,26.69859961
2019,6,1022785,452074,5080394,12,0.006572887,0.064911359,0.113796567,0.125002126,11.06759961
2019,6,1022828,401192,4977850,17,0.000975121,0.186069653,0.840066365,0,22.83269922
2019,6,1022829,424613,4979262,18,0.001272339,0.404069091,0.377324718,0.102640525,22.18140039
2019,6,1022890,619971,5064973,11,0.000943639,0.01779073,2.663675887,0.058632215,19.417
2019,6,1022926,356148,4928658,11,0.030690953,0.078953501,0.271452131,0.017004414,24.32940039
2019,6,1022936,376411,4941587,11,0.002405132,0.063938111,1.079283599,0.001340933,13.9867998
2019,6,1022967,524627,5060103,39,0.004079926,0.095110099,0.210076887,0.012702218,21.11569922
2019,7,1023038,343393,4953392,3,0.003716391,0.14739215,3.724468532,0,17.35040039
2019,7,1023046,302383,4956862,15,0.007115496,0.06414911,0.39911868,0.140282629,18.54119922
2019,7,1023047,331320,4921672,5,0.005586832,0.013851326,0.159632001,0.0330068,22.03090039
2019,7,1023063,426564,4977242,17,0.143338659,0.10925592,0.539407783,0.041503926,18.50269922
2019,7,1023099,623486,5053340,14,0.018274234,0.052555422,3.040036797,0,22.09259961
2019,6,1023178,453564,4964784,67,0.211035964,0.118138845,3.64816874,0.003678474,25.27490039
2019,7,1023189,526238,5048044,51,0.006667529,0.095425858,2.374556247,0.021461095,13.3552998
2019,6,1023190,544468,5052947,14,0.110970692,0.118021241,0.208767443,0.128172869,19.31919922
2019,7,1023209,448953,5078267,12,0.146365276,0.251982428,0.049321851,0.097251783,5.018939941
2019,6,1023219,458430,4948498,185,0.00526739,0.195488651,2.652103194,0.053323954,13.8527002
2019,7,1023294,608577,5035086,7,0.012379124,0.022298917,0.018994412,0,15.519
2019,7,1023295,611474,5036645,7,0.004352429,0.021072467,1.430062768,0,18.70340039
2019,7,1023346,644137,5125053,8,0.069010192,0.136413246,0,0.002662684,22.23430078
2019,7,1023352,643837,5093225,7,0.000380149,0.047799624,0.457663386,0.01676629,26.27609961
2019,6,1023364,491257,5064553,13,0.002403357,0.073587648,0.011538939,0.037710767,18.92159961
2019,7,1023365,519392,5042314,40,0.000766999,0.244135564,0.231438999,0.007227349,25.01590039
2019,7,1023366,512896,5060305,20,0.000568308,0.151241896,0.10672258,0.005852554,16.6845
2019,6,1023368,537659,5054475,32,0.052733241,0.108025243,0.001927917,0.077625673,21.06140039
2019,6,1023370,526780,5047765,51,0.001450544,0.229336787,2.430323089,0.163232152,6.331009766
2019,7,1023373,526929,5063312,27,0.168576476,0.103586513,0.237831938,0.044111064,16.89390039
2019,7,1023384,524590,5038080,39,0.004164283,0.10245016,0.256569736,0.022741127,31.99240039
2019,7,1023448,336152,4918143,7,0.000217345,0.250395689,0.41118712,0.016167985,29.81030078
2019,7,1023451,600134,5008256,3,0.00633552,0.061544805,6.528610629,0.004024074,12.14240039
2019,7,1023469,319818,4848537,13,0.003139229,0.178907301,1.743883818,0.0021712,6.892759766
2019,7,1023479,427520,4976213,15,0.001908579,0.112489994,0.603954874,0.059188502,17.16309961
2019,7,1023480,427518,4976202,15,0.003292368,0.118755763,0.60564716,0.065647265,17.07719922
2019,5,1023526,582728,5071772,5,0.033488026,0.114133181,0,0.023899619,16.68790039
2019,5,1023532,406340,5076970,16,0.000376363,0.345327212,0.253438059,0.474351221,0.846359985
2019,5,1023539,408918,5077070,16,0.000366099,0.215548288,0.31227649,0.080761802,8.485200195
2019,6,1023544,467891,5077969,7,0.001539153,0.068341337,0.094454073,0.071120402,6.095339844
2019,6,1023618,461042,4946831,168,0.047508103,0.071644415,1.815224181,1.020174985,0
2019,7,1023652,427696,4976431,15,0.000797934,0.082772816,0.473594617,0.001346561,17.67409961
2019,7,1023667,442031,5079755,12,0.013062709,0.252467592,0.001835581,0.109576963,11.31190039
2019,7,1023681,374679,4954081,10,0.009448848,0.055526287,0.001375851,0.044613268,22.29709961
2019,7,1023691,369296,4926554,25,0.002049107,0.428711552,0.421655352,0.007720642,19.5485
2019,7,1023693,412002,4930385,18,0.0025638,0.098072213,0.932372516,0.004075253,25.83290039
2019,7,1023705,395056,5026823,7,0.045399638,0.31932259,0.627128075,0,13.4955
2019,7,1023709,384065,4959939,6,0.709414611,0.023569647,1.027113139,0.035777786,16.29059961
2019,7,1023720,396590,4950145,8,0.331167616,0.076950631,1.197907992,0.016925377,15.3907002
2019,7,1023800,511887,5062134,18,0.002953081,0.159994063,0.010100111,0.054066111,23.02119922
2019,7,1023801,515288,5067923,15,0.482059347,0.020632659,0.464785422,0.009178485,18.77490039
2019,7,1023803,552975,5057955,6,0.018899173,0.126579434,0.614393402,0.017424913,28.2405
2019,7,1023829,309522,4857638,8,0.00115051,0.086414972,0.017965617,0.002036035,24.41530078
2019,6,1023862,309305,4856699,8,0.001298228,0.136079374,0.546531335,0,23.26490039
2019,6,1023864,309097,4827283,7,0.010791067,0.274359065,3.167531254,0.051046508,25.18840039
2019,6,1023866,311450,4850866,10,0.009567726,0.174874127,0.836308474,0.030603323,28.45090039
2019,8,1023891,581920,4994558,5,0.000568781,0.184127113,0.404940683,0.007829655,23.81369922
2019,8,1023893,586598,4989812,5,0.225254991,0.072229409,5.503106745,0,20.14
2019,8,1023947,438480,4973292,20,0.005471192,0.165121262,1.12728583,0.02962782,18.89969922
2019,8,1023999,517680,5060594,23,0.015148218,0.004277274,0.546541296,0.055542109,23.46740039
2019,8,1024017,711773,5111869,71,0.000570367,0.144631265,1.162627448,0.011708057,23.71559961
2019,8,1024078,406562,5073700,16,0.036670179,0.037297005,0.151187266,0.01455057,12.03409961
2019,7,1024089,436982,4945176,85,0.347754382,0.13459462,5.363961087,0,20.91290039
2019,7,1024233,493695,4958468,15,0.050040298,0.173268428,3.411302662,0.026988588,28.001
2019,8,1024245,527077,5060542,34,0.265841724,0.085709026,0.504096965,0.011877151,15.1502002
2019,9,1024313,374242,4994133,41,0.001557236,0.176846634,0.008924777,0.064399666,20.81119922
2019,8,1024335,474769,4947236,64,0.004118676,0.040472597,1.134681761,0.070113666,20.43169922
2019,6,1024401,614261,5057439,12,0.053823581,0.272259664,0.064327924,0.019725678,30.75190039
2019,6,1024404,612291,5056814,11,0.042341171,0.092056078,0.833774444,0.035055509,27.45009961
2019,6,1024405,612291,5056814,11,0.042341171,0.092056078,0.833774444,0.035055509,27.45009961
2019,9,1024407,577953,5025992,7,0.006633938,0.018844633,0.759019341,0.004865328,16.86990039
2019,9,1024456,698059,5097620,11,0.003323069,0.111032235,0.088408141,0.078204657,16.285
2019,7,1024471,564884,5067392,5,0.062356919,0.039486201,0.00876302,0,17.48969922
